467713|the
301453|of
250082|and
211887|to
210761|a
206321|-
181024|in
156287|or
135342|is
128551|your
127499|you
87692|with
85054|for
81850|are
81566|may
77713|that
69844|have
64457|if
58402|be
58225|can
57110|not
56701|as
55829|this
48121|it
45334|by
42857|doctor
40997|symptoms
38629|blood
38514|other
37213|an
35672|from
35037|on
33260|people
32222|disease
31815|.
30990|also
29769|condition
27895|gene
27806|syndrome
27276|at
26839|these
26812|do
26642|more
26376|cause
26194|frequent
24852|any
24035|about
23528|will
23284|such
22809|when
22275|which
21235|some
20780|treatment
20037|very
19391|called
19145|mutations
18868|heart
18717|health
18624|should
18283|take
18196|protein
18140|skin
18077|most
18052|information
17530|use
17495|problems
17403|body
17268|cells
17151|pain
17032|include
16530|care
16482|signs
16397|one
16345|taking
16208|type
15950|medication
15765|1
15477|help
15396|provider
15254|how
15202|been
14882|all
14856|they
14808|children
14742|has
14671|medical
14449|after
14406|often
14282|medications
13945|than
13874|list
13829|2
13817|tell
13612|occasional
13580|surgery
13404|genetic
13314|following
13279|who
12665|test
12601|time
12445|during
11935|call
11916|rare
11854|common
11838|used
11777|risk
11763|disorder
11675|severe
11361|but
11274|before
11121|many
11093|loss
11012|need
10934|medicines
10797|medicine
10785|cancer
10685|usually
10498|make
10444|affected
10398|their
10352|side
10209|cases
10190|brain
10184|cell
10167|there
9987|into
9908|normal
9896|pharmacist
9818|each
9770|muscle
9763|infection
9761|up
9735|available
9649|tests
9530|specific
9206|ask
9104|out
9091|patients
9083|diagnosis
9053|autosomal
9045|kidney
8975|get
8972|caused
8872|provides
8858|eye
8810|no
8682|effects
8616|md
8587|person
8585|keep
8521|changes
8503|features
8472|through
8453|3
8418|including
8374|important
8368|away
8352|number
8328|pressure
8319|high
8318|small
8310|however
8291|certain
8220|much
8126|control
8101|while
8070|causes
7900|treat
7864|individuals
7835|dose
7694|deficiency
7678|occur
7596|liver
7592|system
7532|child
7489|abnormal
7448|breathing
7301|develop
7230|prevent
7227|diseases
7227|testing
7186|its
7156|hpo
7148|bone
7007|see
7003|part
6994|form
6971|what
6893|function
6841|contact
6735|talk
6725|them
6675|mouth
6625|only
6547|using
6539|found
6522|inherited
6513|pregnant
6509|diabetes
6467|day
6466|become
6453|food
6389|family
6352|does
6344|physical
